Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,8.19723805886395,10.1880480043795,11.7422306432624,11.0119428225147,12.9001914177405,12.4666790443888,12.5189678700669,14.6349994952986,14.1229191903622,16.4535520041337,19.5616763376612,20.045538006281
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,6.95836495806649,12.4517133524146,14.0437266822704,13.6734629958056,14.0534345182709,12.0670030360511,11.8007665046081,14.241203879248,14.7673386789326,15.8485265369506,18.6197503146106,19.2944556126532
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,20.1677089633283,18.9031192683871,21.6937669589669,20.5484107692172,17.4116258682972,14.9695469657992,14.6255875996264,15.0950416275172,15.5167908269592,16.1158206144162,19.4252119527289,18.1433368150596
Brazil,BRA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,28.6511222344884,27.3715145442707,29.25143160027,29.6701052640299,27.8247298509471,28.5828852342878,29.1518761025088,25.6990311015294,27.6751697957015,..
Brazil,BRA,Time required to start a business (days),IC.REG.DURS,..,..,86.6,83.6,86,82.5,82.5,20.1,16.6,..,..,..
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,14.1253057430265,13.4900745188201,13.6296293654077,13.7104309816062,13.605228515206,13.9401079935106,13.7376948362641,12.7193878571982,14.316847461319,..
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.36384102519699,1.73072614713627,1.32944608407492,1.330244423168,1.36551715396161,1.34797541299482,1.41448561149999,1.46967772350671,1.37945692518112,1.35547020275614,1.19080984797947,..
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.000442582,13.18455708,134.3929329,137.9776265,125.6477067,117.9869738,106.1217992,99.64002652,95.38505233,96.54706819,102.48887,..
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,11.9697168242237,12.3710552617293,14.485714883982,15.999958400192,14.3117190041583,14.7439120323979,14.0664586517771,11.3500476471567,9.00153466515671,..
Brazil,BRA,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,75.5555555555556,75.5555555555556,72.2222333333333,76.6666666666667,74.4444333333333,84.4444333333333,84.4444333333333,81.1111,..,..
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,11.5994117314118,17.3563680608244,19.6062036475279,18.7979549216251,20.3772919107496,18.0862737629592,18.4560353301167,22.1567390743828,22.1156044791856,25.4396141815613,31.2498679213472,32.6223867563856
Brazil,BRA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,66.44295302,100,125.7597432,121.4837064,107.3474416,109.9276522,116.2341709,114.7659498,114.945085,115.6160679,..,..
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,120311895094.7,242511685521.8,483734834011.9,556919631071.7,543397356309.8,543257228545.3,543000326110.9,557742529134.6,568690159150.8,549263187525.6,606484605480.6,..
Brazil,BRA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,22.6383320676081,86.1821613930119,28.0385332599247,22.9117035902146,39.762111539201,51.0110829785495,34.6166157924529,33.154528475531,53.2346780529118,50.1414140227839,44.8242140108559,..
Brazil,BRA,Net migration,SM.POP.NETM,6457,-1761,35308,24940,4764,82589,56362,67934,69186,56880,20376,..
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,573000000,1349591000,2717675068.66,2647908513.04,2896909951.71,2739786526.59,2698770651.24,2933489276.49,3213621676.71,3566219438.48,4102018147.7,4969231432.81
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,989000000,32994718699.75,75211029129.4,87713983217.24,64738153494.44,74294627801.19,68885491315.23,78162724370.35,69174411753.43,37786286307.45,46439071565.28,91502103577.54
Brazil,BRA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,174380004.882813,255679992.675781,1155729980.46875,914150024.414063,1003190002.44141,674630004.882813,273890014.648438,444980010.986328,272500000,612530029.296875,1108930053.71094,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/29/2023,,,,,,,,,,,,,,,
